id,created_at,customer_id,status
763,2019-05-04 12:22:23.000000 UTC,0,cancelado
4704,2019-07-23 19:29:50.000000 UTC,0,cancelado
4777,2019-07-26 21:16:35.000000 UTC,0,cancelado
5497,2019-04-10 07:22:54.000000 UTC,0,cancelado
5862,2019-05-11 05:57:37.000000 UTC,0,cancelado
7841,2019-02-04 22:47:47.000000 UTC,0,cancelado
89,2019-09-14 17:42:38.000000 UTC,1,cancelado
384,2019-07-20 07:10:44.000000 UTC,1,cancelado
709,2020-01-13 15:39:44.000000 UTC,1,cancelado
1891,2020-01-19 03:31:59.000000 UTC,1,cancelado
2024,2019-07-21 10:11:36.000000 UTC,1,cancelado
2469,2019-06-04 07:42:15.000000 UTC,1,cancelado
3055,2019-11-13 23:48:24.000000 UTC,1,cancelado
6733,2019-03-04 14:56:47.000000 UTC,1,cancelado
1349,2019-07-23 12:56:15.000000 UTC,2,cancelado
2667,2019-08-27 08:45:08.000000 UTC,2,cancelado
3885,2019-08-10 00:24:43.000000 UTC,2,cancelado
5458,2020-01-06 05:06:58.000000 UTC,2,cancelado
5830,2019-07-29 22:58:19.000000 UTC,2,cancelado
5890,2019-08-09 18:29:07.000000 UTC,2,cancelado
5990,2019-04-06 18:23:20.000000 UTC,2,cancelado
9058,2019-06-10 09:06:41.000000 UTC,2,cancelado
9789,2019-05-28 19:36:52.000000 UTC,2,cancelado
446,2019-10-27 17:02:57.000000 UTC,3,cancelado
2585,2019-05-20 03:00:57.000000 UTC,3,cancelado
2696,2019-07-27 16:08:15.000000 UTC,3,cancelado
3049,2020-01-20 22:44:46.000000 UTC,3,cancelado
4178,2019-11-28 23:41:57.000000 UTC,3,cancelado
5479,2019-02-11 21:02:45.000000 UTC,3,cancelado
7564,2019-11-21 06:15:30.000000 UTC,3,cancelado
8631,2019-11-03 14:35:38.000000 UTC,3,cancelado
9955,2019-03-06 09:09:46.000000 UTC,3,cancelado
4446,2019-12-08 21:55:15.000000 UTC,4,cancelado
4909,2019-08-09 19:36:23.000000 UTC,4,cancelado
5730,2019-06-06 16:47:38.000000 UTC,4,cancelado
8610,2020-01-06 19:58:37.000000 UTC,4,cancelado
1947,2019-10-27 11:07:38.000000 UTC,5,cancelado
2030,2019-01-06 12:27:47.000000 UTC,5,cancelado
4120,2019-08-21 09:02:44.000000 UTC,5,cancelado
6152,2019-06-08 02:33:04.000000 UTC,5,cancelado
6348,2019-08-18 17:14:37.000000 UTC,5,cancelado
7046,2020-02-03 11:44:25.000000 UTC,5,cancelado
7318,2020-02-26 04:04:17.000000 UTC,5,cancelado
2407,2020-01-05 17:09:50.000000 UTC,6,cancelado
9193,2019-09-13 02:32:46.000000 UTC,6,cancelado
9309,2019-06-08 07:09:37.000000 UTC,6,cancelado
